arcs,build_source_hash,candidates_examined,capacity_mode,certification_seconds,command,complete_sequence,configuration,degenerate_pivots,direction_seconds,end_to_end_seconds,family,flow_augmentations,flow_solves,full_rebuilds,instance,instance_path,instance_sha256,local_rebuilds,macroitems,message,nodes,objective,oracle_calls,origin,peak_rss_bytes,pivots,preprocessing_seconds,pricing_seconds,ratio_test_seconds,rebuilt_nodes,removed_arcs,repeat_of_replica_0,replica,run_id,runner_seconds,status,total_seconds,update_seconds,verified
19943,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,1005079403,"""instance""",0.0,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/ablation/2f48b1724bcf8b5c/resolved_config.json', '--output', '<project>/experiments/runs/ablation/2f48b1724bcf8b5c/result.json']",False,bland-entering,615936,1.019096246,30.012987842,bilevel,0,0,2681,gen_bilevel_density0.02_n2000_uniform_neg30_r0,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json,0a8d6597281f8373f5b5d053362b90105efb02e1e71cab55b210d1adfbc87be9,615299,267,residual oracle did not certify optimality,2000,0.0,269,generated,27070464,617711,0.001405106,6.294551027,14.57140341,217263367,0,,0,2f48b1724bcf8b5c,30.02032731300278,time_limit,30.000094563,7.308110591,False
19943,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,,"""instance""",,,,bland-entering,,,,bilevel,,,,gen_bilevel_density0.02_n2000_uniform_neg30_r0,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json,0a8d6597281f8373f5b5d053362b90105efb02e1e71cab55b210d1adfbc87be9,,,residual oracle did not certify optimality,2000,,,generated,,,,,,,,True,1,ca8266a8633ed4e3,30.02032731300278,time_limit,,,False
19943,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,952900328,"""instance""",0.0,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/ablation/d42973c92140bc26/resolved_config.json', '--output', '<project>/experiments/runs/ablation/d42973c92140bc26/result.json']",False,close-degeneracy-trigger,624983,1.1192787309999999,30.011466523,bilevel,0,0,2734,gen_bilevel_density0.02_n2000_uniform_neg30_r0,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json,0a8d6597281f8373f5b5d053362b90105efb02e1e71cab55b210d1adfbc87be9,628792,268,residual oracle did not certify optimality,2000,0.0,269,generated,27070464,631257,0.001382937,6.013957276,15.70218451,186063464,0,,0,d42973c92140bc26,30.018901989998994,time_limit,30.000062151,6.366642024,False
19943,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,,"""instance""",,,,close-degeneracy-trigger,,,,bilevel,,,,gen_bilevel_density0.02_n2000_uniform_neg30_r0,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json,0a8d6597281f8373f5b5d053362b90105efb02e1e71cab55b210d1adfbc87be9,,,residual oracle did not certify optimality,2000,,,generated,,,,,,,,True,1,8f4bd7c84a23e3b7,30.018901989998994,time_limit,,,False
19943,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,26950786,"""instance""",0.000784318,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/ablation/164a0267a5ff0e79/resolved_config.json', '--output', '<project>/experiments/runs/ablation/164a0267a5ff0e79/result.json']",False,forest-tuned,375941,0.786523344,7.244237947,bilevel,0,0,1878,gen_bilevel_density0.02_n2000_uniform_neg30_r0,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json,0a8d6597281f8373f5b5d053362b90105efb02e1e71cab55b210d1adfbc87be9,381892,380,,2000,34244.80299120795,381,generated,24489984,383389,0.001424214,0.358446814,0.618099777,122362412,0,,0,164a0267a5ff0e79,7.2514241820026655,optimal,7.230757146,4.787352228,True
19943,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,26950786,"""instance""",0.000710506,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/ablation/8b8774c6ba33ed92/resolved_config.json', '--output', '<project>/experiments/runs/ablation/8b8774c6ba33ed92/result.json']",False,forest-tuned,375941,0.754636488,6.757545784,bilevel,0,0,1878,gen_bilevel_density0.02_n2000_uniform_neg30_r0,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json,0a8d6597281f8373f5b5d053362b90105efb02e1e71cab55b210d1adfbc87be9,381892,380,,2000,34244.80299120795,381,generated,26087424,383389,0.001526811,0.331144036,0.56903744,122362412,0,,1,8b8774c6ba33ed92,6.766137236991199,optimal,6.743612555,4.457485539,True
19943,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,801524154,"""instance""",0.0,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/ablation/fa5c8ccf43bc559a/resolved_config.json', '--output', '<project>/experiments/runs/ablation/fa5c8ccf43bc559a/result.json']",False,full-pricing,427200,3.002553755,30.013274763,bilevel,0,0,1836,gen_bilevel_density0.02_n2000_uniform_neg30_r0,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json,0a8d6597281f8373f5b5d053362b90105efb02e1e71cab55b210d1adfbc87be9,426710,162,residual oracle did not certify optimality,2000,0.0,163,generated,27070464,428383,0.001496774,7.820595986,3.75271299,440850914,0,,0,fa5c8ccf43bc559a,30.021747025995865,time_limit,30.000062439,14.49819202,False
19943,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,,"""instance""",,,,full-pricing,,,,bilevel,,,,gen_bilevel_density0.02_n2000_uniform_neg30_r0,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json,0a8d6597281f8373f5b5d053362b90105efb02e1e71cab55b210d1adfbc87be9,,,residual oracle did not certify optimality,2000,,,generated,,,,,,,,True,1,a3b1328a51a897bd,30.021747025995865,time_limit,,,False
19943,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,34769037,"""instance""",0.000692069,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/ablation/0835db72db396b6b/resolved_config.json', '--output', '<project>/experiments/runs/ablation/0835db72db396b6b/result.json']",False,no-early-ratio-test,413202,0.894311669,20.019578937,bilevel,0,0,2024,gen_bilevel_density0.02_n2000_uniform_neg30_r0,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json,0a8d6597281f8373f5b5d053362b90105efb02e1e71cab55b210d1adfbc87be9,419207,380,,2000,34244.80299120795,381,generated,27070464,420850,0.001438593,0.429846124,11.966261373,155191026,0,,0,0835db72db396b6b,20.029246329999296,optimal,20.006735751,5.949222224,True
19943,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,34769037,"""instance""",0.000708083,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/ablation/e1b74984c5df3e95/resolved_config.json', '--output', '<project>/experiments/runs/ablation/e1b74984c5df3e95/result.json']",False,no-early-ratio-test,413202,0.8721228,19.806138873,bilevel,0,0,2024,gen_bilevel_density0.02_n2000_uniform_neg30_r0,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json,0a8d6597281f8373f5b5d053362b90105efb02e1e71cab55b210d1adfbc87be9,419207,380,,2000,34244.80299120795,381,generated,27070464,420850,0.001407812,0.420639633,11.917469998,155191026,0,,1,e1b74984c5df3e95,19.814632306995918,optimal,19.793146456,5.87711609,True
