arcs,configuration,family,flow_solves,instance,macroitems,median_seconds,nodes,objective,oracle_calls,origin,peak_rss_bytes,pivots,replicas,solved,solver_seconds,spread_seconds,status
19943,bland-entering,bilevel,,gen_bilevel_density0.02_n2000_uniform_neg30_r0,267,,2000,0.0,,generated,27070464,,2,0,,0.0,time_limit
19943,close-degeneracy-trigger,bilevel,,gen_bilevel_density0.02_n2000_uniform_neg30_r0,268,,2000,0.0,,generated,27070464,,2,0,,0.0,time_limit
19943,forest-tuned,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r0,380,7.008780709496932,2000,34244.80299120795,381.0,generated,26087424,383389.0,2,2,6.9871848505,0.48528694501146674,optimal
19943,full-pricing,bilevel,,gen_bilevel_density0.02_n2000_uniform_neg30_r0,162,,2000,0.0,,generated,27070464,,2,0,,0.0,time_limit
19943,no-early-ratio-test,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r0,380,19.921939318497607,2000,34244.80299120795,381.0,generated,27070464,420850.0,2,2,19.899941103499998,0.21461402300337795,optimal
19943,no-local-update,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r0,380,17.896380125996075,2000,34244.80299120795,381.0,generated,27070464,383389.0,2,2,17.873771081,0.4243208279949613,optimal
19943,no-restricted-ratio-test,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r0,380,26.358919850492384,2000,34244.80299120795,381.0,generated,27070464,420850.0,2,2,26.331966663499998,0.9750737989961635,optimal
19943,sequential-canonicalization,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r0,380,10.826344748005795,2000,34244.80299120795,718.0,generated,27070464,724147.0,2,2,10.8025543495,0.008280644004116766,optimal
19943,sink-initial-basis,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r0,380,4.287305395504518,2000,34244.80299120795,381.0,generated,27070464,471875.0,2,2,4.265214532,0.044729317000019364,optimal
19943,with-transitive-reduction,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r0,380,6.068631185007689,2000,34244.80299120795,381.0,generated,27070464,383389.0,2,2,6.047156511,0.059320354004739784,optimal
19761,bland-entering,bilevel,,gen_bilevel_density0.02_n2000_uniform_neg30_r1,608,,2000,0.0,,generated,27389952,,2,0,,0.0,time_limit
19761,close-degeneracy-trigger,bilevel,,gen_bilevel_density0.02_n2000_uniform_neg30_r1,641,,2000,0.0,,generated,27389952,,2,0,,0.0,time_limit
19761,forest-tuned,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r1,689,11.055446448503062,2000,5000.13871875,695.0,generated,27389952,720661.0,2,2,11.033088020000001,0.11949104300583713,optimal
19761,full-pricing,bilevel,,gen_bilevel_density0.02_n2000_uniform_neg30_r1,133,,2000,0.0,,generated,27389952,,2,0,,0.0,time_limit
19761,no-early-ratio-test,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r1,689,25.800901294496725,2000,5000.13871875,695.0,generated,27389952,726923.0,2,2,25.7797184585,0.4225389529892709,optimal
19761,no-local-update,bilevel,,gen_bilevel_density0.02_n2000_uniform_neg30_r1,627,,2000,0.0,,generated,27389952,,2,0,,0.0,time_limit
19761,no-restricted-ratio-test,bilevel,,gen_bilevel_density0.02_n2000_uniform_neg30_r1,505,,2000,0.0,,generated,27389952,,2,0,,0.0,time_limit
19761,sequential-canonicalization,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r1,689,11.166632755004684,2000,5000.13871875,705.0,generated,27389952,730795.0,2,2,11.14337067,0.042543499992461875,optimal
19761,sink-initial-basis,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r1,689,3.921947884497058,2000,5000.13871875,691.0,generated,27389952,763346.0,2,2,3.8990186849999997,0.02359011299267877,optimal
19761,with-transitive-reduction,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r1,689,11.008662661006383,2000,5000.13871875,695.0,generated,27389952,720661.0,2,2,10.9840685485,0.13705035399470944,optimal
19699,bland-entering,bilevel,,gen_bilevel_density0.02_n2000_uniform_neg30_r2,226,,2000,0.0,,generated,27389952,,2,0,,0.0,time_limit
19699,close-degeneracy-trigger,bilevel,,gen_bilevel_density0.02_n2000_uniform_neg30_r2,227,,2000,0.0,,generated,27389952,,2,0,,0.0,time_limit
19699,forest-tuned,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r2,287,6.251773263000359,2000,23875.47306953925,288.0,generated,27389952,342207.0,2,2,6.229860016,0.07236298000498209,optimal
19699,full-pricing,bilevel,,gen_bilevel_density0.02_n2000_uniform_neg30_r2,153,,2000,0.0,,generated,27389952,,2,0,,0.0,time_limit
19699,no-early-ratio-test,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r2,287,19.50446653749532,2000,23875.47306953925,288.0,generated,27389952,421241.0,2,2,19.4829739865,0.5170318510063225,optimal
19699,no-local-update,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r2,287,16.6934498720002,2000,23875.47306953925,288.0,generated,27389952,342207.0,2,2,16.671530722500002,0.035663611997733824,optimal
19699,no-restricted-ratio-test,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r2,287,26.772219229002076,2000,23875.47306953925,288.0,generated,27389952,421241.0,2,2,26.750140856,0.1993220579897752,optimal
19699,sequential-canonicalization,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r2,287,9.178870181000093,2000,23875.47306953925,700.0,generated,27389952,509277.0,2,2,9.157069465,0.0973408280115109,optimal
19699,sink-initial-basis,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r2,287,3.719847835993278,2000,23875.47306953925,288.0,generated,27389952,296728.0,2,2,3.6934766695,0.32772297799238004,optimal
19699,with-transitive-reduction,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r2,287,6.863563690996671,2000,23875.47306953925,288.0,generated,27389952,342207.0,2,2,6.779228548,0.40488103999814484,optimal
1999,bland-entering,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r0,11,0.8471459259963012,2000,15844.804659498208,12.0,generated,27389952,21140.0,2,2,0.83806845,0.018552270004875027,optimal
1999,close-degeneracy-trigger,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r0,11,0.5058579965043464,2000,15844.804659498208,12.0,generated,27389952,14530.0,2,2,0.497048719,0.09325797900964972,optimal
1999,forest-tuned,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r0,11,0.07605279700510437,2000,15844.804659498208,12.0,generated,27389952,3522.0,2,2,0.067241763,0.0016763880121288821,optimal
1999,full-pricing,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r0,11,0.08363601200107951,2000,15844.804659498208,12.0,generated,27389952,2786.0,2,2,0.075188425,0.000696117989718914,optimal
1999,no-early-ratio-test,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r0,11,0.0982980944972951,2000,15844.804659498208,12.0,generated,27389952,3522.0,2,2,0.08989212699999999,6.744300480931997e-05,optimal
1999,no-local-update,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r0,11,0.1990854039977421,2000,15844.804659498208,12.0,generated,27389952,3522.0,2,2,0.189794936,0.0015667760017095134,optimal
1999,no-restricted-ratio-test,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r0,11,0.09241539100185037,2000,15844.804659498208,12.0,generated,27389952,3522.0,2,2,0.0835161565,0.00031985598616302013,optimal
1999,sequential-canonicalization,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r0,11,0.07732460300758248,2000,15844.804659498208,12.0,generated,27389952,3522.0,2,2,0.068624667,0.002280950007843785,optimal
1999,sink-initial-basis,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r0,11,0.07222903199726716,2000,15844.804659498208,12.0,generated,27389952,10975.0,2,2,0.064390651,0.002616437996039167,optimal
1999,with-transitive-reduction,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r0,11,0.077909533494676,2000,15844.804659498208,12.0,generated,27389952,3522.0,2,2,0.06929373650000001,0.0009257570054614916,optimal
1999,bland-entering,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r1,6,0.8841704375008703,2000,190.4533466070703,7.0,generated,27389952,21173.0,2,2,0.8752811039999999,0.001887122998596169,optimal
1999,close-degeneracy-trigger,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r1,6,0.5531213889989886,2000,190.4533466070703,7.0,generated,27389952,14843.0,2,2,0.5434224894999999,0.0021884720044909045,optimal
1999,forest-tuned,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r1,6,0.0955368620052468,2000,190.4533466070703,7.0,generated,27389952,3421.0,2,2,0.086646519,0.0006391560018528253,optimal
1999,full-pricing,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r1,6,0.0880625499994494,2000,190.4533466070703,7.0,generated,27389952,2915.0,2,2,0.080053105,0.0015717520145699382,optimal
1999,no-early-ratio-test,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r1,6,0.11828326149407076,2000,190.4533466070703,7.0,generated,27389952,3421.0,2,2,0.1093782845,0.0019039609906030819,optimal
1999,no-local-update,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r1,6,0.2103868389967829,2000,190.4533466070703,7.0,generated,27389952,3421.0,2,2,0.20097071,0.0057896520011126995,optimal
1999,no-restricted-ratio-test,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r1,6,0.1121403864963213,2000,190.4533466070703,7.0,generated,27389952,3421.0,2,2,0.1033539895,0.008177334995707497,optimal
1999,sequential-canonicalization,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r1,6,0.09762215900263982,2000,190.4533466070703,7.0,generated,27389952,3421.0,2,2,0.0886430475,0.0012362320121610537,optimal
1999,sink-initial-basis,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r1,6,0.06772469699353678,2000,190.4533466070703,7.0,generated,27389952,10475.0,2,2,0.0585488935,0.0004224660078762099,optimal
1999,with-transitive-reduction,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r1,6,0.09404256649577292,2000,190.4533466070703,7.0,generated,27389952,3421.0,2,2,0.085138416,0.0009063450124813244,optimal
1999,bland-entering,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r2,3,0.24321583600249141,2000,10231.488992353232,3.0,generated,27389952,4660.0,2,2,0.2343195095,6.093000411055982e-05,optimal
