arcs,configuration,family,flow_solves,instance,macroitems,median_seconds,nodes,objective,oracle_calls,origin,peak_rss_bytes,pivots,replicas,solved,solver_seconds,spread_seconds,status
1999,dinkelbach,chain,68.0,gen_chain_plain_n2000_uniform_neg30_r0,13,0.4227620250021573,2000,,13.0,generated,24535040,0.0,2,2,0.4137063985,0.038457114016637206,optimal
1999,parametric,chain,25.0,gen_chain_plain_n2000_uniform_neg30_r0,13,0.09503646899975138,2000,,25.0,generated,24535040,0.0,2,2,0.0857732225,0.003947600009269081,optimal
1999,ratio-closure-dual,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r0,13,0.3915694785027881,2000,,13.0,generated,24535040,10840.0,2,2,0.381863675,0.006684448992018588,optimal
1999,ratio-closure-tuned,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r0,13,0.13283362049696734,2000,,13.0,generated,24535040,3522.0,2,2,0.1229319515,0.0008907290030037984,optimal
1999,ratio-closure-warm,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r0,13,0.07883643800596474,2000,,13.0,generated,24535040,2912.0,2,2,0.07019753249999999,0.005638087997795083,optimal
1999,ratio-closure-warm-dual,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r0,13,0.06591782099712873,2000,,13.0,generated,24535040,2231.0,2,2,0.056039702999999996,0.0019116879993816838,optimal
2009,dinkelbach,cyclic,3.0,gen_cyclic_components10_n2000_uniform_neg30_r0,1,0.010588702498353086,2000,,1.0,generated,24535040,0.0,2,2,0.000435537,0.0003144970105495304,optimal
2009,parametric,cyclic,1.0,gen_cyclic_components10_n2000_uniform_neg30_r0,1,0.01232274150243029,2000,,1.0,generated,24535040,0.0,2,2,0.0004304035,0.0052146030066069216,optimal
2009,ratio-closure-dual,cyclic,0.0,gen_cyclic_components10_n2000_uniform_neg30_r0,1,0.011797193008533213,2000,,1.0,generated,24535040,9.0,2,2,0.000456987,0.0033820259995991364,optimal
2009,ratio-closure-tuned,cyclic,0.0,gen_cyclic_components10_n2000_uniform_neg30_r0,1,0.011774253005569335,2000,,1.0,generated,24535040,0.0,2,2,0.0004660395,0.001390722012729384,optimal
2009,ratio-closure-warm,cyclic,0.0,gen_cyclic_components10_n2000_uniform_neg30_r0,1,0.01368866499979049,2000,,1.0,generated,24535040,0.0,2,2,0.0004874145,0.005852722009876743,optimal
2009,ratio-closure-warm-dual,cyclic,0.0,gen_cyclic_components10_n2000_uniform_neg30_r0,1,0.01097866499912925,2000,,1.0,generated,24535040,9.0,2,2,0.000461734,0.0028340239950921386,optimal
31979,dinkelbach,dense,114.0,gen_dense_density0.1_n800_uniform_neg30_r0,20,1.1376944340008777,800,,20.0,generated,24535040,0.0,2,2,1.0956704405000002,0.10334535400033928,optimal
31979,parametric,dense,39.0,gen_dense_density0.1_n800_uniform_neg30_r0,20,0.19609598450915655,800,,39.0,generated,24535040,0.0,2,2,0.158661735,1.134500780608505e-05,optimal
31979,ratio-closure-dual,dense,0.0,gen_dense_density0.1_n800_uniform_neg30_r0,20,3.535610895502032,800,,20.0,generated,24387584,49266.0,2,2,3.494565921,0.09245370898861438,optimal
31979,ratio-closure-tuned,dense,0.0,gen_dense_density0.1_n800_uniform_neg30_r0,20,1.1378985329938587,800,,20.0,generated,24031232,26722.0,2,2,1.0959227185,0.13552439599880017,optimal
31979,ratio-closure-warm,dense,0.0,gen_dense_density0.1_n800_uniform_neg30_r0,20,0.9493041780006024,800,,20.0,generated,24358912,22358.0,2,2,0.9037300525,0.02119888197921682,optimal
31979,ratio-closure-warm-dual,dense,0.0,gen_dense_density0.1_n800_uniform_neg30_r0,20,3.6131119080091594,800,,20.0,generated,24469504,49131.0,2,2,3.569599534,0.05684611600008793,optimal
1993,dinkelbach,disconnected,6655.0,gen_disconnected_components6_n2000_uniform_neg30_r0,633,1.90616749599576,2000,,633.0,generated,24535040,0.0,2,2,1.8955064435,0.37063980801030993,optimal
1993,parametric,disconnected,1265.0,gen_disconnected_components6_n2000_uniform_neg30_r0,633,0.18349213499459438,2000,,1265.0,generated,24535040,0.0,2,2,0.1685475755,0.014034499996341765,optimal
1993,ratio-closure-dual,disconnected,0.0,gen_disconnected_components6_n2000_uniform_neg30_r0,633,2.9397635605055257,2000,,633.0,generated,24535040,81170.0,2,2,2.9270958235,0.2829258050041972,optimal
1993,ratio-closure-tuned,disconnected,0.0,gen_disconnected_components6_n2000_uniform_neg30_r0,633,2.1398890179989394,2000,,633.0,generated,24535040,251780.0,2,2,2.1295794285,0.2706232059863396,optimal
1993,ratio-closure-warm,disconnected,0.0,gen_disconnected_components6_n2000_uniform_neg30_r0,633,0.1521516845023143,2000,,633.0,generated,24535040,3080.0,2,2,0.1404885145,0.012017389017273672,optimal
1993,ratio-closure-warm-dual,disconnected,0.0,gen_disconnected_components6_n2000_uniform_neg30_r0,633,0.12154907650256064,2000,,633.0,generated,24535040,980.0,2,2,0.112442895,0.002425026992568746,optimal
0,dinkelbach,empty,7805.0,gen_empty_plain_n2000_uniform_neg30_r0,716,0.5658791820023907,2000,,716.0,generated,24535040,0.0,2,2,0.55657577,0.05708632999449037,optimal
0,parametric,empty,1431.0,gen_empty_plain_n2000_uniform_neg30_r0,716,0.07410791449365206,2000,,1431.0,generated,24535040,0.0,2,2,0.0638353275,0.00022537901531904936,optimal
0,ratio-closure-dual,empty,0.0,gen_empty_plain_n2000_uniform_neg30_r0,716,0.08315764900180511,2000,,716.0,generated,24535040,0.0,2,2,0.0723958125,0.0018250739958602935,optimal
0,ratio-closure-tuned,empty,0.0,gen_empty_plain_n2000_uniform_neg30_r0,716,0.13798899199900916,2000,,716.0,generated,24535040,0.0,2,2,0.1272131605,0.008753137997700833,optimal
