arcs,configuration,family,flow_solves,instance,macroitems,median_seconds,nodes,objective,oracle_calls,origin,peak_rss_bytes,pivots,replicas,solved,solver_seconds,spread_seconds,status
19943,forest-q1,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r0,380,6.94072094099829,2000,34244.80299120795,381.0,generated,49844224,383389.0,2,2,6.918473271,0.0167329820105806,optimal
19943,forest-q100,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r0,380,7.504515048502071,2000,65281.0,381.0,generated,154660864,383389.0,2,2,7.244086711,0.7440016210166505,optimal
19943,forest-q20,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r0,380,6.836806606996106,2000,65281.0,381.0,generated,53403648,383389.0,2,2,6.774825512,0.10555068601388484,optimal
19943,forest-q5,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r0,380,6.827310836990364,2000,65279.895833375,381.0,generated,49844224,383389.0,2,2,6.795577668,0.13942754600429907,optimal
19943,parametric-q1,bilevel,761.0,gen_bilevel_density0.02_n2000_uniform_neg30_r0,380,0.09352028850116767,2000,34244.80299120795,760.0,generated,154710016,0.0,2,2,0.071139253,0.003514548996463418,optimal
19943,parametric-q100,bilevel,761.0,gen_bilevel_density0.02_n2000_uniform_neg30_r0,380,0.32577700699766865,2000,65281.0,760.0,generated,154931200,0.0,2,2,0.07117148200000001,0.034287806003703736,optimal
19761,forest-q1,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r1,689,12.068969175998063,2000,5000.13871875,695.0,generated,154931200,720661.0,2,2,12.044671771,0.4281079359789146,optimal
19761,forest-q100,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r1,689,11.826710925000953,2000,6006.782,695.0,generated,154931200,720661.0,2,2,11.6035040085,0.4665197319991421,optimal
19761,forest-q20,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r1,689,11.505959336500382,2000,6006.782,695.0,generated,154931200,720661.0,2,2,11.445550453500001,0.3401441090099979,optimal
19761,forest-q5,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r1,689,11.531060683999385,2000,6006.782,695.0,generated,154931200,720661.0,2,2,11.5004701565,0.18576609600859229,optimal
19761,parametric-q1,bilevel,1379.0,gen_bilevel_density0.02_n2000_uniform_neg30_r1,689,0.13675056300417054,2000,5000.13871875,1378.0,generated,186662912,0.0,2,2,0.11224381,0.006569891993422061,optimal
19761,parametric-q100,bilevel,1379.0,gen_bilevel_density0.02_n2000_uniform_neg30_r1,689,0.349121056497097,2000,6006.782,1378.0,generated,186662912,0.0,2,2,0.112689507,0.01257417700253427,optimal
19699,forest-q1,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r2,287,7.173368786505307,2000,23875.47306953925,288.0,generated,186662912,342207.0,2,2,7.1514682305,1.384169897006359,optimal
