arcs,build_source_hash,candidates_examined,capacity_mode,certification_seconds,command,complete_sequence,configuration,degenerate_pivots,direction_seconds,end_to_end_seconds,family,flow_augmentations,flow_solves,full_rebuilds,instance,instance_path,instance_sha256,local_rebuilds,macroitems,message,nodes,objective,oracle_calls,origin,peak_rss_bytes,pivots,preprocessing_seconds,pricing_seconds,ratio_test_seconds,rebuilt_nodes,removed_arcs,repeat_of_replica_0,replica,run_id,runner_seconds,status,total_seconds,update_seconds,verified
19943,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,554727991,"""instance""",0.000717853,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/dual/88eb670a6101ae09/resolved_config.json', '--output', '<project>/experiments/runs/dual/88eb670a6101ae09/result.json']",False,forest-dual,0,2.428858751,15.101938141,bilevel,0,0,1777,gen_bilevel_density0.02_n2000_uniform_neg30_r0,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json,0a8d6597281f8373f5b5d053362b90105efb02e1e71cab55b210d1adfbc87be9,356141,380,,2000,34244.80299120795,381,generated,25866240,357537,0.001647005,6.190256693,2.316882494,75943726,0,,0,88eb670a6101ae09,15.110637655001483,optimal,15.08771157,3.6947865859999998,True
19943,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,554727991,"""instance""",0.000620888,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/dual/586678568cf45723/resolved_config.json', '--output', '<project>/experiments/runs/dual/586678568cf45723/result.json']",False,forest-dual,0,1.957913829,11.855295185,bilevel,0,0,1777,gen_bilevel_density0.02_n2000_uniform_neg30_r0,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json,0a8d6597281f8373f5b5d053362b90105efb02e1e71cab55b210d1adfbc87be9,356141,380,,2000,34244.80299120795,381,generated,26046464,357537,0.0013552,5.045778959,1.730952074,75943726,0,,1,586678568cf45723,11.863657594003598,optimal,11.84194379,2.736534627,True
19943,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,864752764,"""instance""",0.0,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/dual/8b4227adc10e64b3/resolved_config.json', '--output', '<project>/experiments/runs/dual/8b4227adc10e64b3/result.json']",False,forest-dual-largest-tree,0,3.352574455,30.013004016,bilevel,0,0,2385,gen_bilevel_density0.02_n2000_uniform_neg30_r0,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json,0a8d6597281f8373f5b5d053362b90105efb02e1e71cab55b210d1adfbc87be9,542568,257,residual oracle did not certify optimality,2000,0.0,258,generated,26316800,544695,0.001362225,8.45394301,8.486679571,217697225,0,,0,8b4227adc10e64b3,30.019964945997344,time_limit,30.000050789,8.944209697,False
19943,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,,"""instance""",,,,forest-dual-largest-tree,,,,bilevel,,,,gen_bilevel_density0.02_n2000_uniform_neg30_r0,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json,0a8d6597281f8373f5b5d053362b90105efb02e1e71cab55b210d1adfbc87be9,,,residual oracle did not certify optimality,2000,,,generated,,,,,,,,True,1,bc705ddf08270f8e,30.019964945997344,time_limit,,,False
19943,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,26950786,"""instance""",0.000985579,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/dual/164a0267a5ff0e79/resolved_config.json', '--output', '<project>/experiments/runs/dual/164a0267a5ff0e79/result.json']",False,forest-primal,375941,0.88688793,7.871299305,bilevel,0,0,1878,gen_bilevel_density0.02_n2000_uniform_neg30_r0,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json,0a8d6597281f8373f5b5d053362b90105efb02e1e71cab55b210d1adfbc87be9,381892,380,,2000,34244.80299120795,381,generated,24424448,383389,0.001668172,0.384020568,0.679402923,122362412,0,,0,164a0267a5ff0e79,7.881013821999659,optimal,7.85565259,5.187432594,True
19943,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,26950786,"""instance""",0.000716186,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/dual/8b8774c6ba33ed92/resolved_config.json', '--output', '<project>/experiments/runs/dual/8b8774c6ba33ed92/result.json']",False,forest-primal,375941,0.828422358,7.677742744,bilevel,0,0,1878,gen_bilevel_density0.02_n2000_uniform_neg30_r0,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json,0a8d6597281f8373f5b5d053362b90105efb02e1e71cab55b210d1adfbc87be9,381892,380,,2000,34244.80299120795,381,generated,24961024,383389,0.001870393,0.375495588,0.647683134,122362412,0,,1,8b8774c6ba33ed92,7.687563938990934,optimal,7.660581506,5.091761314,True
19943,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.00094871,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/dual/3cbfc458e42fd679/resolved_config.json', '--output', '<project>/experiments/runs/dual/3cbfc458e42fd679/result.json']",False,parametric,0,0.0,0.111141069,bilevel,6190,761,0,gen_bilevel_density0.02_n2000_uniform_neg30_r0,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json,0a8d6597281f8373f5b5d053362b90105efb02e1e71cab55b210d1adfbc87be9,0,380,,2000,34244.80299120795,760,generated,26316800,0,0.002033334,0.0,0.0,0,0,,0,3cbfc458e42fd679,0.12270141200860962,optimal,0.08806517,0.0,True
19943,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.000714558,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/dual/b14196fcc11f4941/resolved_config.json', '--output', '<project>/experiments/runs/dual/b14196fcc11f4941/result.json']",False,parametric,0,0.0,0.09016619,bilevel,6190,761,0,gen_bilevel_density0.02_n2000_uniform_neg30_r0,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r0.json,0a8d6597281f8373f5b5d053362b90105efb02e1e71cab55b210d1adfbc87be9,0,380,,2000,34244.80299120795,760,generated,26570752,0,0.00146563,0.0,0.0,0,0,,1,b14196fcc11f4941,0.09946704799949657,optimal,0.071251273,0.0,True
19761,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,725033797,"""instance""",0.000645499,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r1.json', '--config', '<project>/experiments/runs/dual/e6fc92f90d917be4/resolved_config.json', '--output', '<project>/experiments/runs/dual/e6fc92f90d917be4/result.json']",False,forest-dual,0,2.243176667,9.77635852,bilevel,0,0,2581,gen_bilevel_density0.02_n2000_uniform_neg30_r1,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r1.json,d7108202daa9124d5de7d9377919dbc0f3ca210e7ea8f299d7bbe691d6923a26,482250,689,,2000,5000.13871875,690,generated,26648576,484141,0.001505716,6.200894775,0.29552523599999997,18249739,0,,0,e6fc92f90d917be4,9.785569895000663,optimal,9.76125129,0.641071238,True
19761,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,725033797,"""instance""",0.000611083,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r1.json', '--config', '<project>/experiments/runs/dual/94bfb77a811939bd/resolved_config.json', '--output', '<project>/experiments/runs/dual/94bfb77a811939bd/result.json']",False,forest-dual,0,2.302685809,10.030232565,bilevel,0,0,2581,gen_bilevel_density0.02_n2000_uniform_neg30_r1,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r1.json,d7108202daa9124d5de7d9377919dbc0f3ca210e7ea8f299d7bbe691d6923a26,482250,689,,2000,5000.13871875,690,generated,26648576,484141,0.001546977,6.3708164080000005,0.298019244,18249739,0,,1,94bfb77a811939bd,10.039453076999052,optimal,10.016447464,0.65233823,True
