arcs,configuration,family,flow_solves,instance,macroitems,median_seconds,nodes,objective,oracle_calls,origin,peak_rss_bytes,pivots,replicas,solved,solver_seconds,spread_seconds,status
19943,forest-dual,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r0,380,13.48714762450254,2000,34244.80299120795,381.0,generated,26046464,357537.0,2,2,13.464827679999999,3.2469800609978847,optimal
19943,forest-dual-largest-tree,bilevel,,gen_bilevel_density0.02_n2000_uniform_neg30_r0,257,,2000,0.0,,generated,26316800,,2,0,,0.0,time_limit
19943,forest-primal,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r0,380,7.784288880495296,2000,34244.80299120795,381.0,generated,24961024,383389.0,2,2,7.758117048,0.193449883008725,optimal
19943,parametric,bilevel,761.0,gen_bilevel_density0.02_n2000_uniform_neg30_r0,380,0.1110842300040531,2000,34244.80299120795,760.0,generated,26570752,0.0,2,2,0.0796582215,0.02323436400911305,optimal
19761,forest-dual,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r1,689,9.912511485999858,2000,5000.13871875,690.0,generated,26648576,484141.0,2,2,9.888849377,0.2538831819983898,optimal
19761,forest-dual-largest-tree,bilevel,,gen_bilevel_density0.02_n2000_uniform_neg30_r1,629,,2000,0.0,,generated,26648576,,2,0,,0.0,time_limit
19761,forest-primal,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r1,689,11.684861375993933,2000,5000.13871875,695.0,generated,26648576,720661.0,2,2,11.661759167,0.3461775020114146,optimal
19761,parametric,bilevel,1379.0,gen_bilevel_density0.02_n2000_uniform_neg30_r1,689,0.16624409649375593,2000,5000.13871875,1378.0,generated,26648576,0.0,2,2,0.137410204,0.012106058988138102,optimal
19699,forest-dual,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r2,287,11.02490007400047,2000,23875.47306953925,288.0,generated,26742784,289640.0,2,2,11.002466878,0.622049418016104,optimal
19699,forest-dual-largest-tree,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r2,287,20.90507703000185,2000,23875.47306953925,288.0,generated,26808320,408677.0,2,2,20.8835928465,0.002870165990316309,optimal
19699,forest-primal,bilevel,0.0,gen_bilevel_density0.02_n2000_uniform_neg30_r2,287,6.976945849004551,2000,23875.47306953925,288.0,generated,26648576,342207.0,2,2,6.949941636,0.885870611993596,optimal
19699,parametric,bilevel,575.0,gen_bilevel_density0.02_n2000_uniform_neg30_r2,287,0.07706736800901126,2000,23875.47306953925,574.0,generated,26808320,0.0,2,2,0.054621129500000004,0.0029150400077924132,optimal
1999,forest-dual,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r0,11,0.2391552029948798,2000,15844.804659498208,12.0,generated,26808320,10840.0,2,2,0.229508239,0.009257762008928694,optimal
1999,forest-dual-largest-tree,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r0,11,0.2514068810050958,2000,15844.804659498208,12.0,generated,26808320,10840.0,2,2,0.24322075099999999,0.018601066010887735,optimal
1999,forest-primal,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r0,11,0.08043891299894312,2000,15844.804659498208,12.0,generated,26808320,3522.0,2,2,0.0714319395,0.0006481460150098428,optimal
1999,parametric,chain,23.0,gen_chain_plain_n2000_uniform_neg30_r0,11,0.056871659493481275,2000,15844.804659498208,22.0,generated,26808320,0.0,2,2,0.048225313,0.0026186409959336743,optimal
1999,forest-dual,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r1,6,0.2533037049943232,2000,190.4533466070703,7.0,generated,26808320,10359.0,2,2,0.243923879,0.010459808006999083,optimal
1999,forest-dual-largest-tree,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r1,6,0.24671562599542085,2000,190.4533466070703,7.0,generated,26808320,10359.0,2,2,0.238311396,0.0008690319955348969,optimal
1999,forest-primal,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r1,6,0.09891988050367218,2000,190.4533466070703,7.0,generated,26808320,3421.0,2,2,0.0900768235,0.003241603000788018,optimal
1999,parametric,chain,13.0,gen_chain_plain_n2000_uniform_neg30_r1,6,0.037363297495176084,2000,190.4533466070703,12.0,generated,26808320,0.0,2,2,0.0291260795,0.0004349109949544072,optimal
1999,forest-dual,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r2,3,0.10351266549696447,2000,10231.488992353232,3.0,generated,26808320,3719.0,2,2,0.095225642,0.00043301501136738807,optimal
1999,forest-dual-largest-tree,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r2,3,0.10171820849791402,2000,10231.488992353232,3.0,generated,26808320,3719.0,2,2,0.09245688799999999,0.0007654829969396815,optimal
1999,forest-primal,chain,0.0,gen_chain_plain_n2000_uniform_neg30_r2,3,0.06901355500303907,2000,10231.488992353232,3.0,generated,26808320,2080.0,2,2,0.060464661,0.0011016019998351112,optimal
1999,parametric,chain,6.0,gen_chain_plain_n2000_uniform_neg30_r2,3,0.04204299049888505,2000,10231.488992353232,6.0,generated,26808320,0.0,2,2,0.0333342965,0.0009943370096152648,optimal
200024,forest-dual,dense,,gen_dense_density0.1_n2000_uniform_neg30_r0,10,,2000,0.0,,generated,55971840,,2,0,,0.0,time_limit
200024,forest-dual-largest-tree,dense,,gen_dense_density0.1_n2000_uniform_neg30_r0,12,,2000,0.0,,generated,55902208,,2,0,,0.0,time_limit
200024,forest-primal,dense,0.0,gen_dense_density0.1_n2000_uniform_neg30_r0,20,15.093853939491964,2000,15177.694103194102,21.0,generated,59576320,163343.0,2,2,14.944932654,0.7053730109910248,optimal
200024,parametric,dense,41.0,gen_dense_density0.1_n2000_uniform_neg30_r0,20,1.4445105769991642,2000,15177.694103194102,40.0,generated,67600384,0.0,2,2,1.2688515125,0.0006060079904273152,optimal
199506,forest-dual,dense,,gen_dense_density0.1_n2000_uniform_neg30_r1,4,,2000,0.0,,generated,55750656,,2,0,,0.0,time_limit
199506,forest-dual-largest-tree,dense,0.0,gen_dense_density0.1_n2000_uniform_neg30_r1,6,16.36167584899522,2000,394.5427474419831,7.0,generated,59514880,48553.0,2,2,16.2083426425,0.1274247760011349,optimal
199506,forest-primal,dense,0.0,gen_dense_density0.1_n2000_uniform_neg30_r1,6,5.046590205500252,2000,394.5427474419831,7.0,generated,59453440,58346.0,2,2,4.8961767565,0.022401670983526856,optimal
199506,parametric,dense,13.0,gen_dense_density0.1_n2000_uniform_neg30_r1,6,1.4552990994998254,2000,394.5427474419831,12.0,generated,67383296,0.0,2,2,1.3070303330000002,0.0048694509896449745,optimal
200313,forest-dual,dense,,gen_dense_density0.1_n2000_uniform_neg30_r2,8,,2000,0.0,,generated,56000512,,2,0,,0.0,time_limit
200313,forest-dual-largest-tree,dense,,gen_dense_density0.1_n2000_uniform_neg30_r2,10,,2000,0.0,,generated,55934976,,2,0,,0.0,time_limit
200313,forest-primal,dense,0.0,gen_dense_density0.1_n2000_uniform_neg30_r2,19,11.117035283503355,2000,10614.323612347878,20.0,generated,59772928,177873.0,2,2,10.960991036500001,0.1894109330023639,optimal
200313,parametric,dense,39.0,gen_dense_density0.1_n2000_uniform_neg30_r2,19,1.2986844225015375,2000,10614.323612347878,38.0,generated,67629056,0.0,2,2,1.142738777,0.08887522299482953,optimal
1993,forest-dual,disconnected,0.0,gen_disconnected_components6_n2000_uniform_neg30_r0,458,1.5939905574996374,2000,36857.0,459.0,generated,46059520,79971.0,2,2,1.5846155464999998,0.0041888890118571,optimal
1993,forest-dual-largest-tree,disconnected,0.0,gen_disconnected_components6_n2000_uniform_neg30_r0,458,1.601487696490949,2000,36857.0,459.0,generated,46059520,79971.0,2,2,1.5921375704999998,0.0008714410068932921,optimal
1993,forest-primal,disconnected,0.0,gen_disconnected_components6_n2000_uniform_neg30_r0,458,1.0995371250028256,2000,36857.0,459.0,generated,46059520,249391.0,2,2,1.0900454105000001,0.0071673459897283465,optimal
1993,parametric,disconnected,917.0,gen_disconnected_components6_n2000_uniform_neg30_r0,458,0.0651696209970396,2000,36857.0,916.0,generated,46059520,0.0,2,2,0.056281252,0.002343774016480893,optimal
1993,forest-dual,disconnected,0.0,gen_disconnected_components6_n2000_uniform_neg30_r1,405,3.2393134695012122,2000,4354.104881578947,406.0,generated,46059520,179346.0,2,2,3.2292138095,0.16476709098787978,optimal
1993,forest-dual-largest-tree,disconnected,0.0,gen_disconnected_components6_n2000_uniform_neg30_r1,405,3.1587734450076823,2000,4354.104881578947,406.0,generated,46059520,179346.0,2,2,3.1471834225000004,0.03445939799712505,optimal
1993,forest-primal,disconnected,0.0,gen_disconnected_components6_n2000_uniform_neg30_r1,405,1.2592811545036966,2000,4354.104881578947,406.0,generated,46059520,254246.0,2,2,1.249668046,0.035803419013973325,optimal
1993,parametric,disconnected,811.0,gen_disconnected_components6_n2000_uniform_neg30_r1,405,0.06020759349485161,2000,4354.104881578947,810.0,generated,46059520,0.0,2,2,0.0490029325,0.0017071809998014942,optimal
1993,forest-dual,disconnected,0.0,gen_disconnected_components6_n2000_uniform_neg30_r2,324,1.1777468319996842,2000,25926.125,325.0,generated,46059520,52679.0,2,2,1.1688810109999999,0.06109678999928292,optimal
1993,forest-dual-largest-tree,disconnected,0.0,gen_disconnected_components6_n2000_uniform_neg30_r2,324,1.1384184574926621,2000,25926.125,325.0,generated,46059520,52679.0,2,2,1.1288600445,0.020430221004062332,optimal
1993,forest-primal,disconnected,0.0,gen_disconnected_components6_n2000_uniform_neg30_r2,324,1.0408163909960422,2000,25926.125,325.0,generated,46059520,237977.0,2,2,1.0303270025,0.014402769986190833,optimal
1993,parametric,disconnected,649.0,gen_disconnected_components6_n2000_uniform_neg30_r2,324,0.05342078750254586,2000,25926.125,648.0,generated,46059520,0.0,2,2,0.0444439155,0.00023132699425332248,optimal
0,forest-dual,empty,0.0,gen_empty_plain_n200_uniform_neg0_r0,163,0.0044389975009835325,200,5864.625,163.0,generated,22679552,0.0,2,2,0.0008661515,5.2517003496177495e-05,optimal
0,forest-dual-largest-tree,empty,0.0,gen_empty_plain_n200_uniform_neg0_r0,163,0.004178384493570775,200,5864.625,163.0,generated,22679552,0.0,2,2,0.000906303,0.00048759698984213173,optimal
0,forest-primal,empty,0.0,gen_empty_plain_n200_uniform_neg0_r0,163,0.00634744499984663,200,5864.625,163.0,generated,22679552,0.0,2,2,0.001271369,0.0015548979863524437,optimal
0,parametric,empty,326.0,gen_empty_plain_n200_uniform_neg0_r0,163,0.0043462209941935726,200,5864.625,326.0,generated,22679552,0.0,2,2,0.0009503335,0.0001352380058960989,optimal
0,forest-dual,empty,0.0,gen_empty_plain_n200_uniform_neg0_r1,199,0.005123405499034561,200,631.2907916666667,199.0,generated,22679552,0.0,2,2,0.0012891439999999999,0.0004652889911085367,optimal
0,forest-dual-largest-tree,empty,0.0,gen_empty_plain_n200_uniform_neg0_r1,199,0.005157375497219618,200,631.2907916666667,199.0,generated,22679552,0.0,2,2,0.0013543169999999998,0.0003748989984160289,optimal
0,forest-primal,empty,0.0,gen_empty_plain_n200_uniform_neg0_r1,199,0.005356510002457071,200,631.2907916666667,199.0,generated,22679552,0.0,2,2,0.0016388285,0.0003100239991908893,optimal
0,parametric,empty,398.0,gen_empty_plain_n200_uniform_neg0_r1,199,0.005450409000332002,200,631.2907916666667,398.0,generated,22679552,0.0,2,2,0.001283578,0.0011059240059694275,optimal
0,forest-dual,empty,0.0,gen_empty_plain_n200_uniform_neg0_r2,103,0.004482281998207327,200,4188.85,103.0,generated,22679552,0.0,2,2,0.0009199115,9.224600216839463e-05,optimal
0,forest-dual-largest-tree,empty,0.0,gen_empty_plain_n200_uniform_neg0_r2,103,0.006731746005243622,200,4188.85,103.0,generated,22679552,0.0,2,2,0.000757585,0.005039778014179319,optimal
0,forest-primal,empty,0.0,gen_empty_plain_n200_uniform_neg0_r2,103,0.004838470995309763,200,4188.85,103.0,generated,22679552,0.0,2,2,0.0012660225,7.584199192933738e-05,optimal
0,parametric,empty,206.0,gen_empty_plain_n200_uniform_neg0_r2,103,0.004565545496006962,200,4188.85,206.0,generated,22679552,0.0,2,2,0.0008861254999999999,0.00017327499517705292,optimal
191,forest-dual,forest,0.0,gen_forest_components8_n200_heterogeneous_neg30_r0,62,0.009945327001332771,200,6254.294300979519,63.0,generated,22679552,1638.0,2,2,0.0063104425,0.0002200179878855124,optimal
191,forest-dual-largest-tree,forest,0.0,gen_forest_components8_n200_heterogeneous_neg30_r0,62,0.009692478495708201,200,6254.294300979519,63.0,generated,22679552,1638.0,2,2,0.0061054690000000005,0.00021616900630760938,optimal
191,forest-primal,forest,0.0,gen_forest_components8_n200_heterogeneous_neg30_r0,62,0.0125377974982257,200,6254.294300979519,63.0,generated,22679552,3086.0,2,2,0.0075485759999999996,8.551099745091051e-05,optimal
191,parametric,forest,125.0,gen_forest_components8_n200_heterogeneous_neg30_r0,62,0.00488962799863657,200,6254.294300979519,124.0,generated,22679552,0.0,2,2,0.0012836660000000001,0.00017904200649354607,optimal
191,forest-dual,forest,0.0,gen_forest_components8_n200_heterogeneous_neg30_r1,34,0.0071139814899652265,200,26984.2176743055,35.0,generated,22679552,906.0,2,2,0.0033971970000000002,0.0006731629982823506,optimal
191,forest-dual-largest-tree,forest,0.0,gen_forest_components8_n200_heterogeneous_neg30_r1,34,0.007035293492663186,200,26984.2176743055,35.0,generated,22679552,906.0,2,2,0.003392097,0.0002724169899011031,optimal
191,forest-primal,forest,0.0,gen_forest_components8_n200_heterogeneous_neg30_r1,34,0.0075807174944202416,200,26984.2176743055,35.0,generated,22679552,1489.0,2,2,0.0036794255,0.00032551899494137615,optimal
191,parametric,forest,69.0,gen_forest_components8_n200_heterogeneous_neg30_r1,34,0.0049753050043364055,200,26984.2176743055,68.0,generated,22679552,0.0,2,2,0.0009578765,0.000757229994633235,optimal
191,forest-dual,forest,0.0,gen_forest_components8_n200_heterogeneous_neg30_r2,46,0.010150308997253887,200,4477.9726,47.0,generated,22843392,868.0,2,2,0.00565298,0.00041131398756988347,optimal
191,forest-dual-largest-tree,forest,0.0,gen_forest_components8_n200_heterogeneous_neg30_r2,46,0.010450945497723296,200,4477.9726,47.0,generated,23007232,868.0,2,2,0.005813805,0.00022415700368583202,optimal
191,forest-primal,forest,0.0,gen_forest_components8_n200_heterogeneous_neg30_r2,46,0.013866975998098496,200,4477.9726,47.0,generated,22843392,2411.0,2,2,0.008497948,0.00013744599709752947,optimal
191,parametric,forest,93.0,gen_forest_components8_n200_heterogeneous_neg30_r2,46,0.006915148500411306,200,4477.9726,92.0,generated,23007232,0.0,2,2,0.0011460175,0.002571359000285156,optimal
4997,forest-dual,layered,0.0,gen_layered_levels20-density0.02-skip0.005_n2000_dispersed_neg30_r0,232,7.378703118498379,2000,23259.085117102593,233.0,generated,46059520,203947.0,2,2,7.3679027385,0.06651212899305392,optimal
