arcs,configuration,family,flow_solves,instance,macroitems,median_seconds,nodes,objective,oracle_calls,origin,peak_rss_bytes,pivots,replicas,solved,solver_seconds,spread_seconds,status
199,dinkelbach,chain,35,gen_chain_plain_n200_uniform_neg0_r0,7,0.0067849659972125664,200,3034.8419037199124,7,generated,22863872,0,3,3,0.003358653,0.0003731439937837422,optimal
199,forest-reference,chain,0,gen_chain_plain_n200_uniform_neg0_r0,7,0.007259054007590748,200,3034.8419037199124,7,generated,22863872,529,3,3,0.003040224,0.0006381610146490857,optimal
199,forest-tuned,chain,0,gen_chain_plain_n200_uniform_neg0_r0,7,0.00605426800029818,200,3034.8419037199124,7,generated,22863872,384,3,3,0.001284631,0.0023034740006551147,optimal
199,parametric,chain,14,gen_chain_plain_n200_uniform_neg0_r0,7,0.0045419270027196035,200,3034.8419037199124,14,generated,22863872,0,3,3,0.001006171,0.00010126900451723486,optimal
199,dinkelbach,chain,11,gen_chain_plain_n200_uniform_neg0_r1,3,0.005249337002169341,200,442.04541595092024,3,generated,22863872,0,3,3,0.001872558,0.0003340619878144935,optimal
199,forest-reference,chain,0,gen_chain_plain_n200_uniform_neg0_r1,3,0.005854169998201542,200,442.04541595092024,3,generated,22863872,319,3,3,0.002315296,0.0004895980091532692,optimal
199,forest-tuned,chain,0,gen_chain_plain_n200_uniform_neg0_r1,3,0.0037646959972335026,200,442.04541595092024,3,generated,22863872,47,3,3,0.000331783,9.281799430027604e-05,optimal
199,parametric,chain,6,gen_chain_plain_n200_uniform_neg0_r1,3,0.004817276989342645,200,442.04541595092024,6,generated,22863872,0,3,3,0.001118956,0.0010081439977511764,optimal
199,dinkelbach,chain,28,gen_chain_plain_n200_uniform_neg0_r2,6,0.0067528769868658856,200,2007.2983870967741,6,generated,22863872,0,3,3,0.003133392,6.721999670844525e-05,optimal
199,forest-reference,chain,0,gen_chain_plain_n200_uniform_neg0_r2,6,0.007010239001829177,200,2007.2983870967741,6,generated,22863872,506,3,3,0.003400361,0.011482018991955556,optimal
