arcs,build_source_hash,candidates_examined,capacity_mode,certification_seconds,command,complete_sequence,configuration,degenerate_pivots,direction_seconds,end_to_end_seconds,family,flow_augmentations,flow_solves,full_rebuilds,instance,instance_path,instance_sha256,local_rebuilds,macroitems,message,nodes,objective,oracle_calls,origin,peak_rss_bytes,pivots,preprocessing_seconds,pricing_seconds,ratio_test_seconds,rebuilt_nodes,removed_arcs,replica,run_id,runner_seconds,status,total_seconds,update_seconds,verified
1999,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.000232032,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_chain_plain_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/bcaeee65fba26e8d/resolved_config.json', '--output', '<project>/experiments/runs/pilot/bcaeee65fba26e8d/result.json']",False,dinkelbach,0,0.0,0.225169089,chain,52383,64,0,gen_chain_plain_n2000_uniform_neg30_r0,data/generated/gen_chain_plain_n2000_uniform_neg30_r0.json,24b519dbe2874823630864dcfee5e11cedf443892d43fd14ba00bd55c2593e27,0,11,,2000,15844.804659498208,12,generated,26750976,0,0.000337293,0.0,0.0,0,0,0,bcaeee65fba26e8d,0.23056625899334904,optimal,0.222664785,0.0,True
1999,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,18497764,"""instance""",0.000226001,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_chain_plain_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/d274256990e1d491/resolved_config.json', '--output', '<project>/experiments/runs/pilot/d274256990e1d491/result.json']",False,forest-reference,10630,0.02524596,0.656022864,chain,0,0,10851,gen_chain_plain_n2000_uniform_neg30_r0,data/generated/gen_chain_plain_n2000_uniform_neg30_r0.json,24b519dbe2874823630864dcfee5e11cedf443892d43fd14ba00bd55c2593e27,0,11,,2000,15844.804659498208,12,generated,26750976,10839,0.000377818,0.135707897,0.062554765,18508615,0,0,d274256990e1d491,0.6634300569858169,optimal,0.65322065,0.423909349,True
1999,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,558114,"""instance""",0.000225909,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_chain_plain_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/498494581affb91e/resolved_config.json', '--output', '<project>/experiments/runs/pilot/498494581affb91e/result.json']",False,forest-tuned,3495,0.011866526,0.06842535,chain,0,0,25,gen_chain_plain_n2000_uniform_neg30_r0,data/generated/gen_chain_plain_n2000_uniform_neg30_r0.json,24b519dbe2874823630864dcfee5e11cedf443892d43fd14ba00bd55c2593e27,3509,11,,2000,15844.804659498208,12,generated,26750976,3522,0.00032376,0.00472222,0.005818768,1570993,0,0,498494581affb91e,0.07403341500321403,optimal,0.065857535,0.038181385,True
1999,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.000222039,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_chain_plain_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/70a90ee9d9478510/resolved_config.json', '--output', '<project>/experiments/runs/pilot/70a90ee9d9478510/result.json']",False,parametric,0,0.0,0.042437523,chain,8476,23,0,gen_chain_plain_n2000_uniform_neg30_r0,data/generated/gen_chain_plain_n2000_uniform_neg30_r0.json,24b519dbe2874823630864dcfee5e11cedf443892d43fd14ba00bd55c2593e27,0,11,,2000,15844.804659498208,22,generated,26750976,0,0.00030952,0.0,0.0,0,0,0,70a90ee9d9478510,0.047930814005667344,optimal,0.040098925,0.0,True
2009,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.000169478,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_cyclic_components10_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/69b08c93740ff2e4/resolved_config.json', '--output', '<project>/experiments/runs/pilot/69b08c93740ff2e4/result.json']",True,dinkelbach,0,0.0,0.002750476,cyclic,18,3,0,gen_cyclic_components10_n2000_uniform_neg30_r0,data/generated/gen_cyclic_components10_n2000_uniform_neg30_r0.json,0e5478e1b4047ae5800d9858ca0dc3451d9582e813b9a356c2940944a19835e5,0,1,,2000,14832.75,1,generated,26750976,0,0.000233113,0.0,0.0,0,0,0,69b08c93740ff2e4,0.00661539999418892,optimal,0.000427147,0.0,True
2009,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,90,"""instance""",0.000179495,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_cyclic_components10_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/7f94f2b27247f181/resolved_config.json', '--output', '<project>/experiments/runs/pilot/7f94f2b27247f181/result.json']",True,forest-reference,3,8.74e-07,0.002850882,cyclic,0,0,10,gen_cyclic_components10_n2000_uniform_neg30_r0,data/generated/gen_cyclic_components10_n2000_uniform_neg30_r0.json,0e5478e1b4047ae5800d9858ca0dc3451d9582e813b9a356c2940944a19835e5,0,1,,2000,14832.75,1,generated,26750976,9,0.000244423,1.395e-06,1.375e-06,100,0,0,7f94f2b27247f181,0.007622246004757471,optimal,0.000443545,3.891e-06,True
2009,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,9,"""instance""",0.000176934,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_cyclic_components10_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/d7fe737993cc42fe/resolved_config.json', '--output', '<project>/experiments/runs/pilot/d7fe737993cc42fe/result.json']",True,forest-tuned,0,0.0,0.002843456,cyclic,0,0,1,gen_cyclic_components10_n2000_uniform_neg30_r0,data/generated/gen_cyclic_components10_n2000_uniform_neg30_r0.json,0e5478e1b4047ae5800d9858ca0dc3451d9582e813b9a356c2940944a19835e5,0,1,,2000,14832.75,1,generated,26750976,0,0.000232129,3.81e-07,0.0,10,0,0,d7fe737993cc42fe,0.006736733004800044,optimal,0.00042155,1.843e-06,True
2009,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.000164481,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_cyclic_components10_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/312421d9b1a66942/resolved_config.json', '--output', '<project>/experiments/runs/pilot/312421d9b1a66942/result.json']",False,parametric,0,0.0,0.00271526,cyclic,9,2,0,gen_cyclic_components10_n2000_uniform_neg30_r0,data/generated/gen_cyclic_components10_n2000_uniform_neg30_r0.json,0e5478e1b4047ae5800d9858ca0dc3451d9582e813b9a356c2940944a19835e5,0,1,,2000,14832.75,2,generated,26750976,0,0.000230076,0.0,0.0,0,0,0,312421d9b1a66942,0.006615673002670519,optimal,0.000417277,0.0,True
31979,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.000884829,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_dense_density0.1_n800_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/cab41e6018e997f3/resolved_config.json', '--output', '<project>/experiments/runs/pilot/cab41e6018e997f3/result.json']",False,dinkelbach,0,0.0,0.642308679,dense,32213,110,0,gen_dense_density0.1_n800_uniform_neg30_r0,data/generated/gen_dense_density0.1_n800_uniform_neg30_r0.json,a4f603074fc44d53ac349f4abd7c3e033cba8af3dab02149a4e09212f678cf6a,0,18,,800,6881.598944591029,19,generated,26091520,0,0.001826311,0.0,0.0,0,0,0,cab41e6018e997f3,0.6516160769970156,optimal,0.622420336,0.0,True
31979,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,173535024,"""instance""",0.0,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_dense_density0.1_n800_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/f545188a82b78b57/resolved_config.json', '--output', '<project>/experiments/runs/pilot/f545188a82b78b57/result.json']",False,forest-reference,218828,0.370629708,30.019219737,dense,0,0,218839,gen_dense_density0.1_n800_uniform_neg30_r0,data/generated/gen_dense_density0.1_n800_uniform_neg30_r0.json,a4f603074fc44d53ac349f4abd7c3e033cba8af3dab02149a4e09212f678cf6a,0,4,residual oracle did not certify optimality,800,0.0,5,generated,22917120,218834,0.001901782,1.081921127,24.41817429,173754655,0,0,f545188a82b78b57,30.026379757007817,time_limit,30.000341177,3.905162288,False
