arcs,build_source_hash,candidates_examined,capacity_mode,certification_seconds,command,complete_sequence,configuration,degenerate_pivots,direction_seconds,end_to_end_seconds,family,flow_augmentations,flow_solves,full_rebuilds,instance,instance_path,instance_sha256,local_rebuilds,macroitems,message,nodes,objective,oracle_calls,origin,peak_rss_bytes,pivots,preprocessing_seconds,pricing_seconds,ratio_test_seconds,rebuilt_nodes,removed_arcs,repeat_of_replica_0,replica,run_id,runner_seconds,status,total_seconds,update_seconds,verified
19999,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.002035695,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_chain_plain_n20000_uniform_neg0_r0.json', '--config', '<project>/experiments/runs/scalability/4afbd1f05a471e70/resolved_config.json', '--output', '<project>/experiments/runs/scalability/4afbd1f05a471e70/result.json']",True,dinkelbach,0,0.0,8.828692997,chain,394947,65,0,gen_chain_plain_n20000_uniform_neg0_r0,data/generated/gen_chain_plain_n20000_uniform_neg0_r0.json,be0f22bca99c18b5c2dd8a0ed8d1d0cd8568a99c51b20e343f36984602efcc40,0,13,,20000,256548.90462145145,13,generated,63889408,0,0.003484593,0.0,0.0,0,0,,0,4afbd1f05a471e70,8.84448978700675,optimal,8.801390041,0.0,True
19999,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.002171747,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_chain_plain_n20000_uniform_neg0_r0.json', '--config', '<project>/experiments/runs/scalability/a91a21878b6132d1/resolved_config.json', '--output', '<project>/experiments/runs/scalability/a91a21878b6132d1/result.json']",True,dinkelbach,0,0.0,8.436186398,chain,394947,65,0,gen_chain_plain_n20000_uniform_neg0_r0,data/generated/gen_chain_plain_n20000_uniform_neg0_r0.json,be0f22bca99c18b5c2dd8a0ed8d1d0cd8568a99c51b20e343f36984602efcc40,0,13,,20000,256548.90462145145,13,generated,63889408,0,0.003516584,0.0,0.0,0,0,,1,a91a21878b6132d1,8.452508775997558,optimal,8.408696373,0.0,True
19999,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,20747151,"""instance""",0.001838797,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_chain_plain_n20000_uniform_neg0_r0.json', '--config', '<project>/experiments/runs/scalability/d29193aa83f06bed/resolved_config.json', '--output', '<project>/experiments/runs/scalability/d29193aa83f06bed/result.json']",True,forest-tuned,25498,0.892280382,4.475625509,chain,0,0,112,gen_chain_plain_n20000_uniform_neg0_r0,data/generated/gen_chain_plain_n20000_uniform_neg0_r0.json,be0f22bca99c18b5c2dd8a0ed8d1d0cd8568a99c51b20e343f36984602efcc40,25427,13,,20000,256548.90462145145,13,generated,63889408,25526,0.003541587,0.163212975,0.484905943,113229772,0,,0,d29193aa83f06bed,4.491768754000077,optimal,4.447896954,2.644538313,True
19999,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,20747151,"""instance""",0.00181013,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_chain_plain_n20000_uniform_neg0_r0.json', '--config', '<project>/experiments/runs/scalability/228cec99a253683c/resolved_config.json', '--output', '<project>/experiments/runs/scalability/228cec99a253683c/result.json']",True,forest-tuned,25498,0.927244927,4.647932376,chain,0,0,112,gen_chain_plain_n20000_uniform_neg0_r0,data/generated/gen_chain_plain_n20000_uniform_neg0_r0.json,be0f22bca99c18b5c2dd8a0ed8d1d0cd8568a99c51b20e343f36984602efcc40,25427,13,,20000,256548.90462145145,13,generated,63889408,25526,0.004011684,0.17283808,0.511592199,113229772,0,,1,228cec99a253683c,4.66473056099494,optimal,4.620988743,2.73540719,True
19999,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.002192796,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_chain_plain_n20000_uniform_neg0_r0.json', '--config', '<project>/experiments/runs/scalability/98294db661ea2c84/resolved_config.json', '--output', '<project>/experiments/runs/scalability/98294db661ea2c84/result.json']",False,parametric,0,0.0,2.563429055,chain,88945,26,0,gen_chain_plain_n20000_uniform_neg0_r0,data/generated/gen_chain_plain_n20000_uniform_neg0_r0.json,be0f22bca99c18b5c2dd8a0ed8d1d0cd8568a99c51b20e343f36984602efcc40,0,13,,20000,256548.90462145145,26,generated,63889408,0,0.003817048,0.0,0.0,0,0,,0,98294db661ea2c84,2.580766359998961,optimal,2.535979518,0.0,True
19999,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.001789031,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_chain_plain_n20000_uniform_neg0_r0.json', '--config', '<project>/experiments/runs/scalability/10900ee6a3f7bc87/resolved_config.json', '--output', '<project>/experiments/runs/scalability/10900ee6a3f7bc87/result.json']",False,parametric,0,0.0,2.544395763,chain,88945,26,0,gen_chain_plain_n20000_uniform_neg0_r0,data/generated/gen_chain_plain_n20000_uniform_neg0_r0.json,be0f22bca99c18b5c2dd8a0ed8d1d0cd8568a99c51b20e343f36984602efcc40,0,13,,20000,256548.90462145145,26,generated,64053248,0,0.004047378,0.0,0.0,0,0,,1,10900ee6a3f7bc87,2.559999846998835,optimal,2.517181883,0.0,True
19999,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.001832166,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_chain_plain_n20000_uniform_neg0_r1.json', '--config', '<project>/experiments/runs/scalability/99f91e4b50e2dbdc/resolved_config.json', '--output', '<project>/experiments/runs/scalability/99f91e4b50e2dbdc/result.json']",True,dinkelbach,0,0.0,11.041420148,chain,431415,57,0,gen_chain_plain_n20000_uniform_neg0_r1,data/generated/gen_chain_plain_n20000_uniform_neg0_r1.json,23b28d94bc2d8641c5bce55167c88ea731b8eb10612d0a48ce3274501cf51c82,0,11,,20000,41383.38210192404,11,generated,64053248,0,0.003334606,0.0,0.0,0,0,,0,99f91e4b50e2dbdc,11.057122477999656,optimal,11.003638391,0.0,True
19999,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.002055391,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_chain_plain_n20000_uniform_neg0_r1.json', '--config', '<project>/experiments/runs/scalability/1cdb909bae260267/resolved_config.json', '--output', '<project>/experiments/runs/scalability/1cdb909bae260267/result.json']",True,dinkelbach,0,0.0,10.473212773,chain,431415,57,0,gen_chain_plain_n20000_uniform_neg0_r1,data/generated/gen_chain_plain_n20000_uniform_neg0_r1.json,23b28d94bc2d8641c5bce55167c88ea731b8eb10612d0a48ce3274501cf51c82,0,11,,20000,41383.38210192404,11,generated,64053248,0,0.003365306,0.0,0.0,0,0,,1,1cdb909bae260267,10.489934851997532,optimal,10.444127683,0.0,True
19999,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,21921193,"""instance""",0.002080365,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_chain_plain_n20000_uniform_neg0_r1.json', '--config', '<project>/experiments/runs/scalability/364a451341ce6b21/resolved_config.json', '--output', '<project>/experiments/runs/scalability/364a451341ce6b21/result.json']",True,forest-tuned,28109,1.059276021,5.683986309,chain,0,0,120,gen_chain_plain_n20000_uniform_neg0_r1,data/generated/gen_chain_plain_n20000_uniform_neg0_r1.json,23b28d94bc2d8641c5bce55167c88ea731b8eb10612d0a48ce3274501cf51c82,28022,11,,20000,41383.38210192404,11,generated,64053248,28131,0.003540548,0.170560603,0.438459039,156922172,0,,0,364a451341ce6b21,5.700900445997831,optimal,5.653854951,3.655139363,True
19999,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,21921193,"""instance""",0.002378915,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_chain_plain_n20000_uniform_neg0_r1.json', '--config', '<project>/experiments/runs/scalability/cb4d93e93670948e/resolved_config.json', '--output', '<project>/experiments/runs/scalability/cb4d93e93670948e/result.json']",True,forest-tuned,28109,1.039197562,5.622595359,chain,0,0,120,gen_chain_plain_n20000_uniform_neg0_r1,data/generated/gen_chain_plain_n20000_uniform_neg0_r1.json,23b28d94bc2d8641c5bce55167c88ea731b8eb10612d0a48ce3274501cf51c82,28022,11,,20000,41383.38210192404,11,generated,64053248,28131,0.003840144,0.170731791,0.437586617,156922172,0,,1,cb4d93e93670948e,5.643782134997309,optimal,5.591885362,3.611180705,True
