arcs,configuration,family,flow_solves,instance,macroitems,median_seconds,nodes,objective,oracle_calls,origin,peak_rss_bytes,pivots,replicas,solved,solver_seconds,spread_seconds,status
19999,dinkelbach,chain,65.0,gen_chain_plain_n20000_uniform_neg0_r0,13,8.648499281502154,20000,256548.90462145145,13.0,generated,63889408,0.0,2,2,8.605043207,0.391981011009193,optimal
19999,forest-tuned,chain,0.0,gen_chain_plain_n20000_uniform_neg0_r0,13,4.5782496574975085,20000,256548.90462145145,13.0,generated,63889408,25526.0,2,2,4.5344428484999995,0.17296180699486285,optimal
19999,parametric,chain,26.0,gen_chain_plain_n20000_uniform_neg0_r0,13,2.570383103498898,20000,256548.90462145145,26.0,generated,64053248,0.0,2,2,2.5265807005000003,0.020766513000125997,optimal
19999,dinkelbach,chain,57.0,gen_chain_plain_n20000_uniform_neg0_r1,11,10.773528664998594,20000,41383.38210192404,11.0,generated,64053248,0.0,2,2,10.723883037,0.5671876260021236,optimal
19999,forest-tuned,chain,0.0,gen_chain_plain_n20000_uniform_neg0_r1,11,5.67234129049757,20000,41383.38210192404,11.0,generated,64053248,28131.0,2,2,5.622870156499999,0.057118311000522226,optimal
19999,parametric,chain,22.0,gen_chain_plain_n20000_uniform_neg0_r1,11,2.1631285719995503,20000,41383.38210192404,22.0,generated,64053248,0.0,2,2,2.1190449315,0.053939356017508544,optimal
19999,dinkelbach,chain,28.0,gen_chain_plain_n20000_uniform_neg0_r2,6,7.380460424501507,20000,170929.87537671404,6.0,generated,64053248,0.0,2,2,7.336634643,0.0006052850076230243,optimal
19999,forest-tuned,chain,0.0,gen_chain_plain_n20000_uniform_neg0_r2,6,4.5372439220009255,20000,170929.87537671404,6.0,generated,64053248,16537.0,2,2,4.4936503575,0.003914576009265147,optimal
19999,parametric,chain,12.0,gen_chain_plain_n20000_uniform_neg0_r2,6,2.3600938154922915,20000,170929.87537671404,12.0,generated,64217088,0.0,2,2,2.319198712,0.032847092996235006,optimal
19999,dinkelbach,chain,43.0,gen_chain_plain_n20000_uniform_neg30_r0,9,8.528745165996952,20000,146592.74872986964,9.0,generated,64217088,0.0,2,2,8.484681576,0.08582035001018085,optimal
