arcs,build_source_hash,candidates_examined,capacity_mode,certification_seconds,command,complete_sequence,configuration,degenerate_pivots,direction_seconds,end_to_end_seconds,family,flow_augmentations,flow_solves,full_rebuilds,instance,instance_path,instance_sha256,local_rebuilds,macroitems,nodes,objective,oracle_calls,origin,peak_rss_bytes,pivots,preprocessing_seconds,pricing_seconds,ratio_test_seconds,rebuilt_nodes,removed_arcs,replica,run_id,runner_seconds,status,total_seconds,update_seconds,verified
1999,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.00024717,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_chain_plain_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/smoke/bcaeee65fba26e8d/resolved_config.json', '--output', '<project>/experiments/runs/smoke/bcaeee65fba26e8d/result.json']",False,dinkelbach,0,0.0,0.232060343,chain,52383,64,0,gen_chain_plain_n2000_uniform_neg30_r0,data/generated/gen_chain_plain_n2000_uniform_neg30_r0.json,24b519dbe2874823630864dcfee5e11cedf443892d43fd14ba00bd55c2593e27,0,11,2000,15844.804659498208,12,generated,23724032,0,0.000318867,0.0,0.0,0,0,0,bcaeee65fba26e8d,0.2373105840088101,optimal,0.229419774,0.0,True
1999,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,18497764,"""instance""",0.00023734,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_chain_plain_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/smoke/d274256990e1d491/resolved_config.json', '--output', '<project>/experiments/runs/smoke/d274256990e1d491/result.json']",False,forest-reference,10630,0.025405029,0.667043205,chain,0,0,10851,gen_chain_plain_n2000_uniform_neg30_r0,data/generated/gen_chain_plain_n2000_uniform_neg30_r0.json,24b519dbe2874823630864dcfee5e11cedf443892d43fd14ba00bd55c2593e27,0,11,2000,15844.804659498208,12,generated,23711744,10839,0.000396546,0.137376814,0.062960428,18508615,0,0,d274256990e1d491,0.6729846840025857,optimal,0.664169455,0.432525978,True
1999,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,558114,"""instance""",0.000249557,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_chain_plain_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/smoke/498494581affb91e/resolved_config.json', '--output', '<project>/experiments/runs/smoke/498494581affb91e/result.json']",False,forest-tuned,3495,0.012271849,0.070384666,chain,0,0,25,gen_chain_plain_n2000_uniform_neg30_r0,data/generated/gen_chain_plain_n2000_uniform_neg30_r0.json,24b519dbe2874823630864dcfee5e11cedf443892d43fd14ba00bd55c2593e27,3509,11,2000,15844.804659498208,12,generated,23715840,3522,0.000319701,0.004875169,0.005982345,1570993,0,0,498494581affb91e,0.07567729298898485,optimal,0.067840583,0.039298074,True
1999,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.000246676,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_chain_plain_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/smoke/70a90ee9d9478510/resolved_config.json', '--output', '<project>/experiments/runs/smoke/70a90ee9d9478510/result.json']",False,parametric,0,0.0,0.047303912,chain,8476,23,0,gen_chain_plain_n2000_uniform_neg30_r0,data/generated/gen_chain_plain_n2000_uniform_neg30_r0.json,24b519dbe2874823630864dcfee5e11cedf443892d43fd14ba00bd55c2593e27,0,11,2000,15844.804659498208,22,generated,23724032,0,0.000371425,0.0,0.0,0,0,0,70a90ee9d9478510,0.05390318100398872,optimal,0.04467792,0.0,True
308,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",3.3168e-05,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_layered_levels8-density0.05_n200_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/smoke/25bfcd1fab3b648c/resolved_config.json', '--output', '<project>/experiments/runs/smoke/25bfcd1fab3b648c/result.json']",False,dinkelbach,0,0.0,0.007567529,layered,7731,214,0,gen_layered_levels8-density0.05_n200_uniform_neg30_r0,data/generated/gen_layered_levels8-density0.05_n200_uniform_neg30_r0.json,d0d5931e16868a0a2bc4585d6cabaf6dc9e5fc1ebcfb5acbac5d082fc17680d8,0,29,200,2106.1368613138684,30,generated,22564864,0,7.3085e-05,0.0,0.0,0,0,0,25bfcd1fab3b648c,0.011369932995876297,optimal,0.007097832,0.0,True
308,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,267193,"""instance""",3.0561e-05,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_layered_levels8-density0.05_n200_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/smoke/0606c630538021d2/resolved_config.json', '--output', '<project>/experiments/runs/smoke/0606c630538021d2/result.json']",False,forest-reference,1590,0.000440471,0.011571942,layered,0,0,1744,gen_layered_levels8-density0.05_n200_uniform_neg30_r0,data/generated/gen_layered_levels8-density0.05_n200_uniform_neg30_r0.json,d0d5931e16868a0a2bc4585d6cabaf6dc9e5fc1ebcfb5acbac5d082fc17680d8,0,29,200,2106.1368613138684,35,generated,22564864,1709,6.9784e-05,0.002289852,0.001909663,268937,0,0,0606c630538021d2,0.015737886002170853,optimal,0.011134256,0.005677143,True
308,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,76331,"""instance""",3.1764e-05,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_layered_levels8-density0.05_n200_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/smoke/1c40de614a2c73c1/resolved_config.json', '--output', '<project>/experiments/runs/smoke/1c40de614a2c73c1/result.json']",False,forest-tuned,1904,0.00057306,0.00757566,layered,0,0,37,gen_layered_levels8-density0.05_n200_uniform_neg30_r0,data/generated/gen_layered_levels8-density0.05_n200_uniform_neg30_r0.json,d0d5931e16868a0a2bc4585d6cabaf6dc9e5fc1ebcfb5acbac5d082fc17680d8,1930,29,200,2106.1368613138684,30,generated,22564864,1937,8.6335e-05,0.0011152,0.000842221,70607,0,0,1c40de614a2c73c1,0.012085073001799174,optimal,0.00710537,0.003105499,True
308,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",2.8541e-05,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_layered_levels8-density0.05_n200_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/smoke/fbe61ca9a42bf729/resolved_config.json', '--output', '<project>/experiments/runs/smoke/fbe61ca9a42bf729/result.json']",False,parametric,0,0.0,0.001545862,layered,707,59,0,gen_layered_levels8-density0.05_n200_uniform_neg30_r0,data/generated/gen_layered_levels8-density0.05_n200_uniform_neg30_r0.json,d0d5931e16868a0a2bc4585d6cabaf6dc9e5fc1ebcfb5acbac5d082fc17680d8,0,29,200,2106.1368613138684,58,generated,22564864,0,6.9914e-05,0.0,0.0,0,0,0,fbe61ca9a42bf729,0.0049949609965551645,optimal,0.001093247,0.0,True
3922,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.000251762,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/processed/minelib_newman1.json', '--config', '<project>/experiments/runs/smoke/faf699ddd8f08267/resolved_config.json', '--output', '<project>/experiments/runs/smoke/faf699ddd8f08267/result.json']",False,dinkelbach,0,0.0,0.20234576,minelib-derived,95907,323,0,minelib_newman1,data/processed/minelib_newman1.json,35f28a77d150ed9feaf7f377f59222172fa0f076d4d1ce6cde7000a84bd651a9,0,46,1060,26086899.02597,47,DATA/MINELIB/INSTANCES.zip,23384064,0,0.00040245,0.0,0.0,0,0,0,faf699ddd8f08267,0.2079597219999414,optimal,0.198806212,0.0,True
3922,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,117391956,"""instance""",0.000221667,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/processed/minelib_newman1.json', '--config', '<project>/experiments/runs/smoke/7da072f92bb0200b/resolved_config.json', '--output', '<project>/experiments/runs/smoke/7da072f92bb0200b/result.json']",False,forest-reference,118535,0.254360486,5.867313705,minelib-derived,0,0,118782,minelib_newman1,data/processed/minelib_newman1.json,35f28a77d150ed9feaf7f377f59222172fa0f076d4d1ce6cde7000a84bd651a9,0,46,1060,26086899.02597,47,DATA/MINELIB/INSTANCES.zip,22892544,118735,0.000432766,0.829076569,1.596011669,117510738,0,0,7da072f92bb0200b,5.874415252008475,optimal,5.863332448,3.043910708,True
