tau blandentering closedegeneracytrigger foresttuned fullpricing noearlyratiotest nolocalupdate norestrictedratiotest sequentialcanonicalization sinkinitialbasis withtransitivereduction
1.000 0.0000 0.0000 0.0645 0.0645 0.0000 0.0000 0.0000 0.0000 0.6129 0.2581
1.350 0.0968 0.2258 0.4516 0.2903 0.1935 0.0968 0.2258 0.4839 0.8387 0.6129
1.823 0.1290 0.3548 0.7419 0.4839 0.4194 0.2903 0.3871 0.6774 0.8710 0.8387
2.460 0.2258 0.3871 0.8065 0.6774 0.6129 0.3548 0.6129 0.7419 0.8710 0.9032
3.322 0.3226 0.3871 0.8710 0.6774 0.7419 0.5806 0.7419 0.8387 0.9032 0.9677
4.484 0.3871 0.3871 0.9032 0.7097 0.7419 0.7097 0.7419 0.8710 0.9032 0.9677
6.053 0.4194 0.4516 0.9355 0.8065 0.8387 0.7419 0.7742 0.9032 0.9032 1.0000
8.172 0.4516 0.5161 0.9355 0.8387 0.9032 0.8065 0.8710 0.9677 0.9032 1.0000
11.032 0.5161 0.5806 1.0000 0.8710 0.9032 0.8710 0.8710 1.0000 0.9677 1.0000
14.894 0.6452 0.6129 1.0000 0.9032 0.9032 0.9032 0.8710 1.0000 0.9677 1.0000
20.107 0.6774 0.6774 1.0000 0.9032 0.9032 0.9032 0.8710 1.0000 0.9677 1.0000
27.144 0.6774 0.6774 1.0000 0.9032 0.9032 0.9355 0.8710 1.0000 0.9677 1.0000
36.644 0.6774 0.7097 1.0000 0.9032 0.9032 0.9677 0.8710 1.0000 0.9677 1.0000
49.470 0.7097 0.7097 1.0000 0.9032 0.9032 0.9677 0.8710 1.0000 0.9677 1.0000
66.784 0.7097 0.7097 1.0000 0.9032 0.9032 0.9677 0.8710 1.0000 0.9677 1.0000
90.158 0.7097 0.7097 1.0000 0.9032 0.9032 0.9677 0.8710 1.0000 0.9677 1.0000
121.714 0.7097 0.7097 1.0000 0.9032 0.9032 0.9677 0.8710 1.0000 0.9677 1.0000
164.314 0.7097 0.7097 1.0000 0.9032 0.9032 0.9677 0.8710 1.0000 0.9677 1.0000
221.824 0.7097 0.7097 1.0000 0.9032 0.9032 0.9677 0.8710 1.0000 0.9677 1.0000
299.462 0.7097 0.7097 1.0000 0.9032 0.9032 0.9677 0.8710 1.0000 0.9677 1.0000
404.274 0.7097 0.7097 1.0000 0.9032 0.9032 0.9677 0.8710 1.0000 0.9677 1.0000
545.769 0.7097 0.7097 1.0000 0.9032 0.9032 0.9677 0.8710 1.0000 0.9677 1.0000
736.789 0.7097 0.7097 1.0000 0.9032 0.9032 0.9677 0.8710 1.0000 0.9677 1.0000
994.665 0.7097 0.7097 1.0000 0.9032 0.9032 0.9677 0.8710 1.0000 0.9677 1.0000
1342.797 0.7097 0.7097 1.0000 0.9032 0.9032 0.9677 0.8710 1.0000 0.9677 1.0000
1812.776 0.7097 0.7097 1.0000 0.9032 0.9032 0.9677 0.8710 1.0000 0.9677 1.0000
2447.248 0.7097 0.7097 1.0000 0.9032 0.9032 0.9677 0.8710 1.0000 0.9677 1.0000
3303.785 0.7097 0.7097 1.0000 0.9032 0.9032 0.9677 0.8710 1.0000 0.9677 1.0000
