tau dinkelbach parametric ratioclosuredual ratioclosuretuned ratioclosurewarm ratioclosurewarmdual
1.000 0.0833 0.7500 0.0000 0.0000 0.0000 0.1667
1.350 0.1667 0.8333 0.1667 0.0833 0.2500 0.2500
1.823 0.1667 1.0000 0.1667 0.0833 0.4167 0.3333
2.460 0.1667 1.0000 0.1667 0.2500 0.4167 0.4167
3.322 0.1667 1.0000 0.1667 0.2500 0.4167 0.4167
4.484 0.1667 1.0000 0.1667 0.3333 0.4167 0.5000
6.053 0.3333 1.0000 0.3333 0.5000 0.6667 0.5833
8.172 0.5000 1.0000 0.3333 0.5000 0.8333 0.5833
11.032 0.5833 1.0000 0.4167 0.5000 0.8333 0.6667
14.894 0.7500 1.0000 0.4167 0.5833 0.8333 0.7500
20.107 0.8333 1.0000 0.5833 0.7500 0.8333 0.8333
27.144 0.8333 1.0000 0.6667 0.7500 0.8333 0.8333
36.644 0.9167 1.0000 0.7500 0.7500 0.8333 0.8333
49.470 0.9167 1.0000 0.8333 0.7500 0.8333 0.8333
66.784 0.9167 1.0000 0.8333 0.8333 0.8333 0.8333
90.158 0.9167 1.0000 0.8333 0.8333 0.8333 0.8333
121.714 0.9167 1.0000 0.8333 0.8333 0.8333 0.8333
164.314 0.9167 1.0000 0.8333 0.8333 0.8333 0.8333
221.824 0.9167 1.0000 0.8333 0.8333 0.8333 0.8333
299.462 0.9167 1.0000 0.8333 0.8333 0.8333 0.8333
404.274 0.9167 1.0000 0.9167 0.8333 0.8333 0.9167
545.769 0.9167 1.0000 0.9167 0.8333 0.8333 0.9167
736.789 0.9167 1.0000 0.9167 0.8333 0.8333 0.9167
994.665 0.9167 1.0000 0.9167 0.8333 0.8333 0.9167
1342.797 0.9167 1.0000 0.9167 0.8333 0.8333 0.9167
1812.776 0.9167 1.0000 0.9167 0.8333 0.8333 0.9167
2447.248 0.9167 1.0000 0.9167 0.8333 0.8333 0.9167
3303.785 0.9167 1.0000 0.9167 0.8333 0.8333 0.9167
