tau forestq1 forestq100 forestq20 forestq5 parametricq1 parametricq100
1.000 0.0000 0.0000 0.0000 0.0000 1.0000 0.0000
1.350 0.0645 0.0000 0.0000 0.0323 1.0000 0.0000
1.823 0.2581 0.0000 0.0968 0.2258 1.0000 0.0000
2.460 0.3548 0.0000 0.2903 0.3548 1.0000 0.2903
3.322 0.4839 0.1290 0.4516 0.4839 1.0000 0.7097
4.484 0.5161 0.3226 0.5161 0.5161 1.0000 0.9355
6.053 0.5484 0.4839 0.5161 0.5484 1.0000 1.0000
8.172 0.5484 0.5161 0.5484 0.5484 1.0000 1.0000
11.032 0.6129 0.6129 0.6129 0.6129 1.0000 1.0000
14.894 0.6774 0.6774 0.6774 0.6774 1.0000 1.0000
20.107 0.7742 0.7419 0.7742 0.7742 1.0000 1.0000
27.144 0.8065 0.8065 0.8065 0.8065 1.0000 1.0000
36.644 0.8065 0.8065 0.8065 0.8065 1.0000 1.0000
49.470 0.8065 0.8065 0.8065 0.8065 1.0000 1.0000
66.784 0.8387 0.8387 0.8387 0.8387 1.0000 1.0000
90.158 0.9032 0.9355 0.9355 0.9355 1.0000 1.0000
121.714 1.0000 0.9677 0.9677 1.0000 1.0000 1.0000
164.314 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
221.824 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
299.462 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
404.274 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
545.769 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
736.789 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
994.665 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
1342.797 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
1812.776 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
2447.248 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
3303.785 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
