tau forestdual forestduallargesttree forestprimal parametric
1.000 0.0645 0.0323 0.0000 0.9032
1.350 0.0968 0.0645 0.0645 1.0000
1.823 0.2581 0.2258 0.1935 1.0000
2.460 0.3548 0.3871 0.2581 1.0000
3.322 0.4194 0.4194 0.4194 1.0000
4.484 0.4516 0.4516 0.5161 1.0000
6.053 0.4516 0.4516 0.5484 1.0000
8.172 0.4839 0.4839 0.5484 1.0000
11.032 0.5161 0.4839 0.6129 1.0000
14.894 0.5161 0.5484 0.6129 1.0000
20.107 0.5484 0.5806 0.7742 1.0000
27.144 0.6452 0.6774 0.8065 1.0000
36.644 0.6774 0.7097 0.8065 1.0000
49.470 0.6774 0.7097 0.8065 1.0000
66.784 0.7419 0.7419 0.8065 1.0000
90.158 0.7742 0.7419 0.9355 1.0000
121.714 0.8387 0.7419 0.9677 1.0000
164.314 0.9032 0.7742 1.0000 1.0000
221.824 0.9032 0.8387 1.0000 1.0000
299.462 0.9032 0.8710 1.0000 1.0000
404.274 0.9032 0.8710 1.0000 1.0000
545.769 0.9032 0.8710 1.0000 1.0000
736.789 0.9032 0.8710 1.0000 1.0000
994.665 0.9032 0.8710 1.0000 1.0000
1342.797 0.9032 0.8710 1.0000 1.0000
1812.776 0.9032 0.8710 1.0000 1.0000
2447.248 0.9032 0.8710 1.0000 1.0000
3303.785 0.9032 0.8710 1.0000 1.0000
