tau dinkelbach forestreference foresttuned parametric
1.000 0.0652 0.0000 0.0217 0.9130
1.350 0.1522 0.1087 0.2391 1.0000
1.823 0.2391 0.1957 0.3261 1.0000
2.460 0.2391 0.2174 0.3696 1.0000
3.322 0.3478 0.2609 0.3696 1.0000
4.484 0.3696 0.2609 0.4348 1.0000
6.053 0.4130 0.2826 0.5000 1.0000
8.172 0.5652 0.2826 0.5217 1.0000
11.032 0.6087 0.3261 0.5435 1.0000
14.894 0.6522 0.3261 0.5870 1.0000
20.107 0.6739 0.3696 0.5870 1.0000
27.144 0.7826 0.3913 0.6739 1.0000
36.644 0.8478 0.3913 0.7391 1.0000
49.470 0.8696 0.4130 0.7391 1.0000
66.784 0.8696 0.4348 0.7609 1.0000
90.158 0.8696 0.4348 0.7826 1.0000
121.714 0.8696 0.4783 0.7826 1.0000
164.314 0.8696 0.5000 0.7826 1.0000
221.824 0.8696 0.5217 0.7826 1.0000
299.462 0.8696 0.5435 0.7826 1.0000
404.274 0.8696 0.5652 0.7826 1.0000
545.769 0.8696 0.5870 0.7826 1.0000
736.789 0.8696 0.5870 0.7826 1.0000
994.665 0.8696 0.5870 0.7826 1.0000
1342.797 0.8696 0.5870 0.7826 1.0000
1812.776 0.8696 0.5870 0.7826 1.0000
2447.248 0.8696 0.5870 0.7826 1.0000
3303.785 0.8696 0.5870 0.7826 1.0000
