tau dinkelbach foresttuned parametric
1.000 0.0000 0.0686 0.9314
1.350 0.0196 0.1373 1.0000
1.823 0.1569 0.3137 1.0000
2.460 0.2353 0.4020 1.0000
3.322 0.3039 0.4706 1.0000
4.484 0.3922 0.5294 1.0000
6.053 0.4510 0.5686 1.0000
8.172 0.5490 0.5686 1.0000
11.032 0.6078 0.5686 1.0000
14.894 0.6667 0.5882 1.0000
20.107 0.7059 0.6373 1.0000
27.144 0.7353 0.6373 1.0000
36.644 0.7941 0.6569 1.0000
49.470 0.8137 0.6667 1.0000
66.784 0.8235 0.6765 1.0000
90.158 0.8235 0.6765 1.0000
121.714 0.8235 0.7059 1.0000
164.314 0.8235 0.7157 1.0000
221.824 0.8235 0.7157 1.0000
299.462 0.8235 0.7157 1.0000
404.274 0.8235 0.7157 1.0000
545.769 0.8235 0.7157 1.0000
736.789 0.8235 0.7157 1.0000
994.665 0.8235 0.7157 1.0000
1342.797 0.8235 0.7157 1.0000
1812.776 0.8235 0.7157 1.0000
2447.248 0.8235 0.7157 1.0000
3303.785 0.8235 0.7157 1.0000
